system:index,dem_0,ir_0,ir_1,ir_2,.geo
0,76,2683.0,2973.0,3031.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31438577295765,26.814845978260337]}"
1,82,2421.0,2322.0,3032.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.17559606156118,26.81538496743081]}"
2,88,2257.0,2405.0,3055.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3620863145444,26.818079913283167]}"
3,78,2677.0,2266.0,3024.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.26695472595614,26.81861890245364]}"
4,78,1491.0,1314.0,3001.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.35750490659538,26.824278288743592]}"
5,81,2339.0,2469.0,3036.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3275910076342,26.825356267084537]}"
6,91,1872.0,2126.0,3026.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.36612873332292,26.82778171835166]}"
7,79,2720.0,2548.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.32139263217378,26.82832070752213]}"
8,74,2438.0,2072.0,3016.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33351988850939,26.82966818044831]}"
9,78,2458.0,2426.0,3026.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.20227602549953,26.836675039664442]}"
10,78,2332.0,2350.0,3016.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24593414830774,26.836675039664442]}"
11,84,2554.0,2759.0,3030.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.36154732537392,26.836944534249678]}"
12,77,2462.0,1685.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.28878378736025,26.838292007175856]}"
13,79,2758.0,2298.0,3015.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.25186302918293,26.839639480102036]}"
14,83,2457.0,2371.0,3037.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.16454678356651,26.84583785556246]}"
15,76,2796.0,2268.0,3026.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.23919678367685,26.846376844732934]}"
16,77,2657.0,2273.0,3009.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3898442568237,26.857156628142366]}"
17,80,2581.0,2598.0,3036.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.23623234323925,26.85769561731284]}"
18,80,2523.0,2580.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38310689219279,26.86200753067661]}"
19,79,2428.0,2445.0,3032.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24458667538156,26.869553379063216]}"
20,80,2582.0,2475.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24216122411444,26.874943270767933]}"
21,86,2237.0,2215.0,3022.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29713811950255,26.878716194961235]}"
22,81,2927.0,2676.0,3040.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24377819162585,26.882219624569302]}"
23,80,2791.0,2949.0,3020.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38445436511897,26.883028108325007]}"
24,81,2810.0,2682.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2389272890916,26.88760951627402]}"
25,78,2541.0,2330.0,3024.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.23704082699496,26.891651935052558]}"
26,76,2171.0,1173.5,2966.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38714931097132,26.8927299133935]}"
27,81,2325.0,2347.0,3021.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2696496718085,26.912403018115718]}"
28,78,2487.0,1920.5,2999.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.32678252387849,26.912942007286187]}"
29,80,2487.5,2029.0,3007.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.27450057434274,26.962529010969586]}"
30,85,2824.0,2303.0,3008.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30468396788916,27.004031177095907]}"
31,100,2473.0,1877.0,3009.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31573324588382,27.032328108545673]}"
32,82,2528.0,2683.0,3037.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46449425693402,26.815115472845573]}"
33,81,2554.0,2512.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.42056663954057,26.82104435372076]}"
34,88,2630.0,2765.0,3030.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46557223527496,26.8288596966926]}"
35,84,2287.0,2447.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41733270451775,26.836405545079206]}"
36,87,1899.0,1855.0,3013.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.39415617018746,26.85176673643765]}"
37,92,2358.0,2569.0,3026.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47581302951393,26.852036231022886]}"
38,85,2181.0,1843.0,3025.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44616862513799,26.85284471477859]}"
39,83,2333.0,2333.0,3033.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.42838198251242,26.87117034657463]}"
40,84,2783.5,2114.0,3006.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41194281281302,26.90054525636534]}"
41,68,2827.0,2458.0,3052.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.60705689252379,26.261843089356358]}"
42,73,2421.0,2139.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.56312927513034,26.277204280714802]}"
43,64,2716.0,2363.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.59115671199487,26.277204280714802]}"
44,64,2963.0,2625.0,3036.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.58226339068209,26.287714569539002]}"
45,69,2366.0,2398.0,3057.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.64074371567827,26.287714569539002]}"
46,73,2531.0,2138.0,3029.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.55477494298803,26.313586049721643]}"
47,70,2929.0,1925.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.59870256038147,26.32032341435254]}"
48,76,2519.0,2516.0,3055.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41140382364256,26.328408251909615]}"
49,73,2824.0,2432.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4725790944911,26.352393269995606]}"
50,72,3025.0,2639.0,3046.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43619732548426,26.3553577104332]}"
51,72,2588.0,2602.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40170201857407,26.372066374717825]}"
52,76,2903.0,2563.0,3042.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43538884172854,26.405753197872308]}"
53,77,2547.0,2571.0,3046.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41760219910297,26.450758793606695]}"
54,77,2707.0,3102.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.42110562871105,26.489296519295422]}"
55,78,2862.0,2861.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.39280869726129,26.511395075284764]}"
56,77,3127.0,3288.0,3056.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47554353492869,26.51489850489283]}"
57,79,2589.0,1842.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.48659281292336,26.517323956159952]}"
58,76,2577.0,2498.0,3056.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46045183815548,26.5259477828875]}"
59,76,2779.0,2937.0,3043.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47581302951393,26.526217277472735]}"
60,76,2597.0,2778.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47284858907634,26.528103739569385]}"
61,73,2252.0,2205.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.55315797547661,26.528103739569385]}"
62,76,2769.0,2579.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.55800887801087,26.528103739569385]}"
63,76,2553.0,2245.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5523494917209,26.53753605005264]}"
64,79,2553.0,2605.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.26318180176284,26.555592187263443]}"
65,78,2828.0,2875.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.35615743366921,26.56098207896816]}"
66,82,2903.0,2770.0,3051.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.17936898575448,26.577151754082312]}"
67,81,2817.0,2655.0,3049.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31492476212811,26.579307710764198]}"
68,76,2792.0,2486.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29417367906495,26.602753739679716]}"
