system:index,coordinates,dem_0,.geo
0,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,,83,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,,83,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,,83,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,,84,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,,83,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,,98,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,,88,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,,84,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,,101,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,,83,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,,86,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
