system:index,dem_0,.geo
0,84,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41195769979055,26.900540294039487]}"
1,83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.42839686948997,26.871165384248783]}"
2,85,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44618351211551,26.852839752452745]}"
3,92,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47582791649148,26.852031268697033]}"
4,87,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3939015625798,26.8517617741118]}"
5,84,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41734759149529,26.836400582753356]}"
6,88,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46531762766728,26.82912422895199]}"
7,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4205815265181,26.821039391394912]}"
8,82,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46450914391158,26.815110510519723]}"
9,85,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49253658077612,26.811068091741184]}"
10,82,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.39713549760262,26.786813579069957]}"
11,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.53242177939103,26.780345709024296]}"
12,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.51544362052113,26.771452387711513]}"
13,94,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44914795255312,26.76848794727392]}"
14,88,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46531762766728,26.758247153034958]}"
15,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.52514542558964,26.758247153034958]}"
16,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43378676119465,26.757977658449725]}"
17,85,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49334506453181,26.757438669279253]}"
18,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31574813286136,27.032323146219824]}"
19,85,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30469885486673,27.004026214770057]}"
20,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.27451546132028,26.962524048643736]}"
21,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.32679741085605,26.912937044960337]}"
22,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.26966455878602,26.912398055789865]}"
23,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38716419794889,26.89272495106765]}"
24,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2370557139725,26.891646972726704]}"
25,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.23894217606914,26.887604553948172]}"
26,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3844692520965,26.88302314599916]}"
27,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24352358401813,26.88221466224345]}"
28,86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29715300648007,26.87871123263539]}"
29,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24217611109196,26.874938308442083]}"
30,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2446015623591,26.869548416737366]}"
31,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38312177917032,26.86200256835076]}"
32,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.23597773563154,26.85769065498699]}"
33,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38985914380123,26.857151665816517]}"
34,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.23921167065441,26.846371882407084]}"
35,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.16456167054406,26.84583289323661]}"
36,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.25187791616048,26.83963451777619]}"
37,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.28879867433778,26.838287044850006]}"
38,84,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.36156221235149,26.83693957192383]}"
39,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.20229091247705,26.83667007733859]}"
40,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24594903528526,26.83667007733859]}"
41,75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33326528090168,26.829663218122462]}"
42,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.32140751915131,26.828315745196278]}"
43,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.36614362030048,26.827776756025806]}"
44,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.32760589461174,26.825351304758684]}"
45,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.35751979357292,26.824273326417746]}"
46,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.26670011834847,26.81861394012779]}"
47,88,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.36210120152197,26.818074950957318]}"
48,82,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.17561094853875,26.815380005104963]}"
49,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31440065993519,26.81484101593449]}"
50,86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.36425715820383,26.81052910257071]}"
51,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.37557593078373,26.80648668379218]}"
52,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.23651672480202,26.802713759598873]}"
53,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30362087652577,26.802713759598873]}"
54,75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31898206788418,26.802713759598873]}"
55,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33380427007216,26.80244426501364]}"
56,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.27235950463842,26.80163578125793]}"
57,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.14246311455474,26.792472965359913]}"
58,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.20633333125562,26.78923903033708]}"
59,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3135921761795,26.78923903033708]}"
60,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.18639073194817,26.786544084484724]}"
61,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33083982963456,26.784657622388075]}"
62,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33730769968025,26.76444552849538]}"
63,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29176311477539,26.759594625961135]}"
64,83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40710679725635,26.755821701767836]}"
65,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4639701547411,26.748814842551702]}"
66,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.55586780830652,26.74638939128458]}"
67,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41573062398385,26.743424950846986]}"
68,88,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43917665289939,26.741268994165097]}"
69,84,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.42516293446715,26.73992152123892]}"
70,69,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40279488389257,26.738843542897975]}"
71,82,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49334506453181,26.736418091630853]}"
72,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.42758838573423,26.730758705340904]}"
73,101,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4610057143035,26.72779426490331]}"
74,83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43028333158662,26.72563830822142]}"
