system:index,ir_0,ir_1,ir_2,.geo
0,2827.0,2458.0,3052.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.60705689252379,26.261843089356358]}"
1,2421.0,2139.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.56312927513034,26.277204280714802]}"
2,2716.0,2363.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.59115671199487,26.277204280714802]}"
3,2963.0,2625.0,3036.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.58226339068209,26.287714569539002]}"
4,2366.0,2398.0,3057.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.64074371567827,26.287714569539002]}"
5,2531.0,2138.0,3029.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.55477494298803,26.313586049721643]}"
6,2929.0,1925.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.59870256038147,26.32032341435254]}"
7,2519.0,2516.0,3055.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41140382364256,26.328408251909615]}"
8,2824.0,2432.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4725790944911,26.352393269995606]}"
9,3025.0,2639.0,3046.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43619732548426,26.3553577104332]}"
10,2588.0,2602.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40170201857407,26.372066374717825]}"
11,2903.0,2563.0,3042.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43538884172854,26.405753197872308]}"
12,2547.0,2571.0,3046.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41760219910297,26.450758793606695]}"
13,2707.0,3102.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.42110562871105,26.489296519295422]}"
14,2862.0,2861.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.39280869726129,26.511395075284764]}"
15,3127.0,3288.0,3056.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47554353492869,26.51489850489283]}"
16,2589.0,1842.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.48659281292336,26.517323956159952]}"
17,2577.0,2498.0,3056.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46045183815548,26.5259477828875]}"
18,2779.0,2937.0,3043.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47581302951393,26.526217277472735]}"
19,2597.0,2778.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47284858907634,26.528103739569385]}"
20,2252.0,2205.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.55315797547661,26.528103739569385]}"
21,2769.0,2579.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.55800887801087,26.528103739569385]}"
22,2553.0,2245.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5523494917209,26.53753605005264]}"
23,2528.0,2683.0,3037.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46449425693402,26.815115472845573]}"
24,2554.0,2512.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.42056663954057,26.82104435372076]}"
25,2630.0,2765.0,3030.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46557223527496,26.8288596966926]}"
26,2287.0,2447.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41733270451775,26.836405545079206]}"
27,1899.0,1855.0,3013.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.39415617018746,26.85176673643765]}"
28,2358.0,2569.0,3026.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47581302951393,26.852036231022886]}"
29,2181.0,1843.0,3025.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44616862513799,26.85284471477859]}"
30,2333.0,2333.0,3033.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.42838198251242,26.87117034657463]}"
31,2783.5,2114.0,3006.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41194281281302,26.90054525636534]}"
32,2683.0,2973.0,3031.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31438577295765,26.814845978260337]}"
33,2421.0,2322.0,3032.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.17559606156118,26.81538496743081]}"
34,2257.0,2405.0,3055.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3620863145444,26.818079913283167]}"
35,2677.0,2266.0,3024.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.26695472595614,26.81861890245364]}"
36,1491.0,1314.0,3001.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.35750490659538,26.824278288743592]}"
